佳臻, ,
1,四寶飯,110
2,三寶飯,100
3,鴨腿飯,105
4,燒鴨飯,90
5,油雞全腿飯,100
6,油雞腿飯,85
7,油雞飯,80
8,雞鴨飯,95
9,蜜汁叉燒飯,85
10,叉雞飯,95
11,叉鴨飯,95
12,脆皮燒肉飯,90
13,燒肉鴨飯,100
14,燒肉雞飯,95
15,燒肉叉飯,95
16,臘腸飯,80
17,肝腸飯,80
18,肝臘腸飯,90
19,合菜飯,55
